,ExchangeSegment,ExchangeInstrumentID,InstrumentType,Name,Description,Series,NameWithSeries,InstrumentID,PriceBand_High,PriceBand_Low,FreezeQty,TickSize,LotSize,Multiplier,UnderlyingInstrumentId,UnderlyingIndexName,ContractExpiration,DisplayName,PriceNumerator,PriceDenominator,DetailedDescription
15,NSEFO,39203,1,MAXHEALTH,MAXHEALTH25FEBFUT,FUTSTK,MAXHEALTH-FUTSTK,2505800039203,1255.3,1027.05,21001,0.05,525,1,1100100022377,MAXHEALTH,2025-02-27T14:30:00,MAXHEALTH 27FEB2025,1,1,MAXHEALTH25FEBFUT
16,NSEFO,43404,1,TRENT,TRENT25MARFUT,FUTSTK,TRENT-FUTSTK,2508600043404,7971.4,6522.05,3001,0.05,100,1,1100100001964,TRENT,2025-03-27T14:30:00,TRENT 27MAR2025,1,1,TRENT25MARFUT
17,NSEFO,35410,1,CDSL,CDSL25MARFUT,FUTSTK,CDSL-FUTSTK,2508600035410,1971.65,1613.2,14001,0.05,350,1,1100100021174,CDSL,2025-03-27T14:30:00,CDSL 27MAR2025,1,1,CDSL25MARFUT
18,NSEFO,40983,1,HAVELLS,HAVELLS25JANFUT,FUTSTK,HAVELLS-FUTSTK,2503000040983,1855.95,1518.5,15001,0.05,500,1,1100100009819,HAVELLS,2025-01-30T14:30:00,HAVELLS 30JAN2025,1,1,HAVELLS25JANFUT
19,NSEFO,43184,1,MGL,MGL25MARFUT,FUTSTK,MGL-FUTSTK,2508600043184,1435.5,1174.5,16001,0.05,400,1,1100100017534,MGL,2025-03-27T14:30:00,MGL 27MAR2025,1,1,MGL25MARFUT
20,NSEFO,39209,1,MFSL,MFSL25FEBFUT,FUTSTK,MFSL-FUTSTK,2505800039209,1238.5,1013.35,24001,0.05,800,1,1100100002142,MFSL,2025-02-27T14:30:00,MFSL 27FEB2025,1,1,MFSL25FEBFUT
21,NSEFO,38999,1,IRB,IRB25FEBFUT,FUTSTK,IRB-FUTSTK,2505800038999,63.83,52.23,410001,0.01,10250,1,1100100015313,IRB,2025-02-27T14:30:00,IRB 27FEB2025,1,1,IRB25FEBFUT
22,NSEFO,35120,1,ANGELONE,ANGELONE25FEBFUT,FUTSTK,ANGELONE-FUTSTK,2505800035120,3250.8,2659.75,8001,0.05,200,1,1100100000324,ANGELONE,2025-02-27T14:30:00,ANGELONE 27FEB2025,1,1,ANGELONE25FEBFUT
23,NSEFO,35043,1,ABB,ABB25JANFUT,FUTSTK,ABB-FUTSTK,2503000035043,7638.35,6249.6,3751,0.05,125,1,1100100000013,ABB,2025-01-30T14:30:00,ABB 30JAN2025,1,1,ABB25JANFUT
24,NSEFO,38964,1,INFY,INFY25FEBFUT,FUTSTK,INFY-FUTSTK,2505800038964,2092.9,1712.35,12001,0.05,400,1,1100100001594,INFY,2025-02-27T14:30:00,INFY 27FEB2025,1,1,INFY25FEBFUT
25,NSEFO,35200,1,ADANIPORTS,ADANIPORTS25JANFUT,FUTSTK,ADANIPORTS-FUTSTK,2503000035200,1361.15,1113.7,16001,0.05,400,1,1100100015083,ADANIPORTS,2025-01-30T14:30:00,ADANIPORTS 30JAN2025,1,1,ADANIPORTS25JANFUT
26,NSEFO,43173,1,MARUTI,MARUTI25MARFUT,FUTSTK,MARUTI-FUTSTK,2508600043173,12179.7,9965.25,2001,0.05,50,1,1100100010999,MARUTI,2025-03-27T14:30:00,MARUTI 27MAR2025,1,1,MARUTI25MARFUT
27,NSEFO,42488,1,POWERGRID,POWERGRID25JANFUT,FUTSTK,POWERGRID-FUTSTK,2503000042488,341.35,279.3,72001,0.05,1800,1,1100100014977,POWERGRID,2025-01-30T14:30:00,POWERGRID 30JAN2025,1,1,POWERGRID25JANFUT
28,NSEFO,40388,1,IGL,IGL25MARFUT,FUTSTK,IGL-FUTSTK,2508600040388,450.65,368.7,55001,0.05,1375,1,1100100011262,IGL,2025-03-27T14:30:00,IGL 27MAR2025,1,1,IGL25MARFUT
29,NSEFO,39186,1,LODHA,LODHA25JANFUT,FUTSTK,LODHA-FUTSTK,2503000039186,1534.05,1255.1,18001,0.05,450,1,1100100003220,LODHA,2025-01-30T14:30:00,LODHA 30JAN2025,1,1,LODHA25JANFUT
30,NSEFO,35708,1,BSOFT,BSOFT25FEBFUT,FUTSTK,BSOFT-FUTSTK,2505800035708,625,511.35,40001,0.05,1000,1,1100100006994,BSOFT,2025-02-27T14:30:00,BSOFT 27FEB2025,1,1,BSOFT25FEBFUT
31,NSEFO,36716,1,111NSETEST,111NSETEST36DECFUT,FUTSTK,111NSETEST-FUTSTK,2633200036716,220,180,100001,0.05,50,1,1100100014774,111NSETEST,2036-11-27T14:30:00,111NSETEST 27NOV2036,1,1,111NSETEST36DECFUT
32,NSEFO,41096,1,KOTAKBANK,KOTAKBANK25JANFUT,FUTSTK,KOTAKBANK-FUTSTK,2503000041096,1978.8,1619.05,16001,0.05,400,1,1100100001922,KOTAKBANK,2025-01-30T14:30:00,KOTAKBANK 30JAN2025,1,1,KOTAKBANK25JANFUT
33,NSEFO,35393,1,BANKBARODA,BANKBARODA25FEBFUT,FUTSTK,BANKBARODA-FUTSTK,2505800035393,268.35,219.56,87751,0.01,2925,1,1100100004668,BANKBARODA,2025-02-27T14:30:00,BANKBARODA 27FEB2025,1,1,BANKBARODA25FEBFUT
34,NSEFO,42468,1,ONGC,ONGC25JANFUT,FUTSTK,ONGC-FUTSTK,2503000042468,264.55,216.45,96251,0.01,1925,1,1100100002475,ONGC,2025-01-30T14:30:00,ONGC 30JAN2025,1,1,ONGC25JANFUT
35,NSEFO,43196,1,MRF,MRF25MARFUT,FUTSTK,MRF-FUTSTK,2508600043196,146002.1,119456.25,201,0.05,5,1,1100100002277,MRF,2025-03-27T14:30:00,MRF 27MAR2025,1,1,MRF25MARFUT
36,NSEFO,35428,1,CHAMBLFERT,CHAMBLFERT25MARFUT,FUTSTK,CHAMBLFERT-FUTSTK,2508600035428,543.95,445.05,57001,0.05,1900,1,1100100000637,CHAMBLFERT,2025-03-27T14:30:00,CHAMBLFERT 27MAR2025,1,1,CHAMBLFERT25MARFUT
37,NSEFO,38530,1,GMRAIRPORT,GMRAIRPORT25FEBFUT,FUTSTK,GMRAIRPORT-FUTSTK,2505800038530,87.52,71.6,281251,0.01,5625,1,1100100013528,GMRAIRPORT,2025-02-27T14:30:00,GMRAIRPORT 27FEB2025,1,1,GMRAIRPORT25FEBFUT
